languages,English,stop_words,libraries
rw,Kinyarwanda,,
sa,Sanskrit,"['अहम्', 'आवाम्', 'वयम्', 'माम्', 'मा', 'आवाम्', 'अस्मान्', 'नः', 'मया', 'आवाभ्याम्', 'अस्माभिस्', 'मह्यम्', 'मे', 'आवाभ्याम्', 'नौ', 'अस्मभ्यम्', 'नः', 'मत्', 'आवाभ्याम्', 'अस्मत्', 'मम', 'मे', 'आवयोः', 'अस्माकम्', 'नः', 'मयि', 'आवयोः', 'अस्मासु', 'त्वम्', 'युवाम्', 'यूयम्', 'त्वाम्', 'त्वा', 'युवाम्', 'वाम्', 'युष्मान्', 'वः', 'त्वया', 'युवाभ्याम्', 'युष्माभिः', 'तुभ्यम्', 'ते', 'युवाभ्याम्', 'वाम्', 'युष्मभ्यम्', 'वः', 'त्वत्', 'युवाभ्याम्', 'युष्मत्', 'तव', 'ते', 'युवयोः', 'वाम्', 'युष्माकम्', 'वः', 'त्वयि', 'युवयोः', 'युष्मासु', 'सः', 'तौ', 'ते', 'तम्', 'तौ', 'तान्', 'तेन', 'ताभ्याम्', 'तैः', 'तस्मै', 'ताभ्याम्', 'तेभ्यः', 'तस्मात्', 'ताभ्याम्', 'तेभ्यः', 'तस्य', 'तयोः', 'तेषाम्', 'तस्मिन्', 'तयोः', 'तेषु', 'सा', 'ते', 'ताः', 'ताम्', 'ते', 'ताः', 'तया', 'ताभ्याम्', 'ताभिः', 'तस्यै', 'ताभ्याम्', 'ताभ्यः', 'तस्याः', 'ताभ्याम्', 'ताभ्यः', 'तस्य', 'तयोः', 'तासाम्', 'तस्याम्', 'तयोः', 'तासु', 'तत्', 'ते', 'तानि', 'तत्', 'ते', 'तानि', 'तया', 'ताभ्याम्', 'ताभिः', 'तस्यै', 'ताभ्याम्', 'ताभ्यः', 'तस्याः', 'ताभ्याम्', 'ताभ्यः', 'तस्य', 'तयोः', 'तासाम्', 'तस्याम्', 'तयोः', 'तासु', 'अयम्', 'इमौ', 'इमे', 'इमम्', 'इमौ', 'इमान्', 'अनेन', 'आभ्याम्', 'एभिः', 'अस्मै', 'आभ्याम्', 'एभ्यः', 'अस्मात्', 'आभ्याम्', 'एभ्यः', 'अस्य', 'अनयोः', 'एषाम्', 'अस्मिन्', 'अनयोः', 'एषु', 'इयम्', 'इमे', 'इमाः', 'इमाम्', 'इमे', 'इमाः', 'अनया', 'आभ्याम्', 'आभिः', 'अस्यै', 'आभ्याम्', 'आभ्यः', 'अस्याः', 'आभ्याम्', 'आभ्यः', 'अस्याः', 'अनयोः', 'आसाम्', 'अस्याम्', 'अनयोः', 'आसु', 'इदम्', 'इमे', 'इमानि', 'इदम्', 'इमे', 'इमानि', 'अनेन', 'आभ्याम्', 'एभिः', 'अस्मै', 'आभ्याम्', 'एभ्यः', 'अस्मात्', 'आभ्याम्', 'एभ्यः', 'अस्य', 'अनयोः', 'एषाम्', 'अस्मिन्', 'अनयोः', 'एषु', 'एषः', 'एतौ', 'एते', 'एतम्', 'एनम्', 'एतौ', 'एनौ', 'एतान्', 'एनान्', 'एतेन', 'एताभ्याम्', 'एतैः', 'एतस्मै', 'एताभ्याम्', 'एतेभ्यः', 'एतस्मात्', 'एताभ्याम्', 'एतेभ्यः', 'एतस्य', 'एतस्मिन्', 'एतेषाम्', 'एतस्मिन्', 'एतस्मिन्', 'एतेषु', 'एषा', 'एते', 'एताः', 'एताम्', 'एनाम्', 'एते', 'एने', 'एताः', 'एनाः', 'एतया', 'एनया', 'एताभ्याम्', 'एताभिः', 'एतस्यै', 'एताभ्याम्', 'एताभ्यः', 'एतस्याः', 'एताभ्याम्', 'एताभ्यः', 'एतस्याः', 'एतयोः', 'एनयोः', 'एतासाम्', 'एतस्याम्', 'एतयोः', 'एनयोः', 'एतासु', 'एतत्', 'एतद्', 'एते', 'एतानि', 'एतत्', 'एतद्', 'एनत्', 'एनद्', 'एते', 'एने', 'एतानि', 'एनानि', 'एतेन', 'एनेन', 'एताभ्याम्', 'एतैः', 'एतस्मै', 'एताभ्याम्', 'एतेभ्यः', 'एतस्मात्', 'एताभ्याम्', 'एतेभ्यः', 'एतस्य', 'एतयोः', 'एनयोः', 'एतेषाम्', 'एतस्मिन्', 'एतयोः', 'एनयोः', 'एतेषु', 'असौ', 'अमू', 'अमी', 'अमूम्', 'अमू', 'अमून्', 'अमुना', 'अमूभ्याम्', 'अमीभिः', 'अमुष्मै', 'अमूभ्याम्', 'अमीभ्यः', 'अमुष्मात्', 'अमूभ्याम्', 'अमीभ्यः', 'अमुष्य', 'अमुयोः', 'अमीषाम्', 'अमुष्मिन्', 'अमुयोः', 'अमीषु', 'असौ', 'अमू', 'अमूः', 'अमूम्', 'अमू', 'अमूः', 'अमुया', 'अमूभ्याम्', 'अमूभिः', 'अमुष्यै', 'अमूभ्याम्', 'अमूभ्यः', 'अमुष्याः', 'अमूभ्याम्', 'अमूभ्यः', 'अमुष्याः', 'अमुयोः', 'अमूषाम्', 'अमुष्याम्', 'अमुयोः', 'अमूषु', 'अमु', 'अमुनी', 'अमूनि', 'अमु', 'अमुनी', 'अमूनि', 'अमुना', 'अमूभ्याम्', 'अमीभिः', 'अमुष्मै', 'अमूभ्याम्', 'अमीभ्यः', 'अमुष्मात्', 'अमूभ्याम्', 'अमीभ्यः', 'अमुष्य', 'अमुयोः', 'अमीषाम्', 'अमुष्मिन्', 'अमुयोः', 'अमीषु', 'कः', 'कौ', 'के', 'कम्', 'कौ', 'कान्', 'केन', 'काभ्याम्', 'कैः', 'कस्मै', 'काभ्याम्', 'केभ्य', 'कस्मात्', 'काभ्याम्', 'केभ्य', 'कस्य', 'कयोः', 'केषाम्', 'कस्मिन्', 'कयोः', 'केषु', 'का', 'के', 'काः', 'काम्', 'के', 'काः', 'कया', 'काभ्याम्', 'काभिः', 'कस्यै', 'काभ्याम्', 'काभ्यः', 'कस्याः', 'काभ्याम्', 'काभ्यः', 'कस्याः', 'कयोः', 'कासाम्', 'कस्याम्', 'कयोः', 'कासु', 'किम्', 'के', 'कानि', 'किम्', 'के', 'कानि', 'केन', 'काभ्याम्', 'कैः', 'कस्मै', 'काभ्याम्', 'केभ्य', 'कस्मात्', 'काभ्याम्', 'केभ्य', 'कस्य', 'कयोः', 'केषाम्', 'कस्मिन्', 'कयोः', 'केषु', 'भवान्', 'भवन्तौ', 'भवन्तः', 'भवन्तम्', 'भवन्तौ', 'भवतः', 'भवता', 'भवद्भ्याम्', 'भवद्भिः', 'भवते', 'भवद्भ्याम्', 'भवद्भ्यः', 'भवतः', 'भवद्भ्याम्', 'भवद्भ्यः', 'भवतः', 'भवतोः', 'भवताम्', 'भवति', 'भवतोः', 'भवत्सु', 'भवती', 'भवत्यौ', 'भवत्यः', 'भवतीम्', 'भवत्यौ', 'भवतीः', 'भवत्या', 'भवतीभ्याम्', 'भवतीभिः', 'भवत्यै', 'भवतीभ्याम्', 'भवतीभिः', 'भवत्याः', 'भवतीभ्याम्', 'भवतीभिः', 'भवत्याः', 'भवत्योः', 'भवतीनाम्', 'भवत्याम्', 'भवत्योः', 'भवतीषु', 'भवत्', 'भवती', 'भवन्ति', 'भवत्', 'भवती', 'भवन्ति', 'भवता', 'भवद्भ्याम्', 'भवद्भिः', 'भवते', 'भवद्भ्याम्', 'भवद्भ्यः', 'भवतः', 'भवद्भ्याम्', 'भवद्भ्यः', 'भवतः', 'भवतोः', 'भवताम्', 'भवति', 'भवतोः', 'भवत्सु', 'अये', 'अरे', 'अरेरे', 'अविधा', 'असाधुना', 'अस्तोभ', 'अहह', 'अहावस्', 'आम्', 'आर्यहलम्', 'आह', 'आहो', 'इस्', 'उम्', 'उवे', 'काम्', 'कुम्', 'चमत्', 'टसत्', 'दृन्', 'धिक्', 'पाट्', 'फत्', 'फाट्', 'फुडुत्', 'बत', 'बाल्', 'वट्', 'व्यवस्तोभति', 'व्यवस्तुभ्', 'षाट्', 'स्तोभ', 'हुम्मा', 'हूम्', 'अति', 'अधि', 'अनु', 'अप', 'अपि', 'अभि', 'अव', 'आ', 'उद्', 'उप', 'नि', 'निर्', 'परा', 'परि', 'प्र', 'प्रति', 'वि', 'सम्', 'अथवा', 'उत', 'अन्यथा', 'इव', 'च', 'चेत्', 'यदि', 'तु', 'परन्तु', 'यतः', 'करणेन', 'हि', 'यतस्', 'यदर्थम्', 'यदर्थे', 'यर्हि', 'यथा', 'यत्कारणम्', 'येन', 'ही', 'हिन', 'यथा', 'यतस्', 'यद्यपि', 'यात्', 'अवधेस्', 'यावति', 'येन', 'प्रकारेण', 'स्थाने', 'अह', 'एव', 'एवम्', 'कच्चित्', 'कु', 'कुवित्', 'कूपत्', 'च', 'चण्', 'चेत्', 'तत्र', 'नकिम्', 'नह', 'नुनम्', 'नेत्', 'भूयस्', 'मकिम्', 'मकिर्', 'यत्र', 'युगपत्', 'वा', 'शश्वत्', 'सूपत्', 'ह', 'हन्त', 'हि']",spark-nlp
sc,Sardinian,,
sd,Sindhi,,
se,Northern Sami,,
sg,Sango,,
si,Sinhala,"['මෙලෙස', 'වුවද', 'ලෙස', 'එවිට', 'නොහොත්', 'ඒ', 'තුර', 'අතර', 'මේ', 'ත්', 'එපමණ', 'වුවත්', 'ය', 'විට', 'වූ', 'හා', 'ලදී', 'මෙවිට', 'හෝ', 'විය', 'විටෙක', 'එලෙස', 'විතර', 'සහ', 'යි', 'වගේ', 'ද', 'ට', 'කට', 'ම', 'වුව', 'මෙච්චර', 'පමණ', 'කදී', 'කින්', 'එච්චර', 'ක්', 'හෙවත්', 'සමඟ', 'මෙපමණ', 'නමුත්', 'වන', 'පමණි']",advertools
sk,Slovak,"['a', 'aby', 'aj', 'ak', 'akej', 'akejže', 'ako', 'akom', 'akomže', 'akou', 'akouže', 'akože', 'aká', 'akáže', 'aké', 'akého', 'akéhože', 'akému', 'akémuže', 'akéže', 'akú', 'akúže', 'aký', 'akých', 'akýchže', 'akým', 'akými', 'akýmiže', 'akýmže', 'akýže', 'ale', 'alebo', 'ani', 'asi', 'avšak', 'až', 'ba', 'bez', 'bezo', 'bol', 'bola', 'boli', 'bolo', 'bude', 'budem', 'budeme', 'budete', 'budeš', 'budú', 'buď', 'by', 'byť', 'cez', 'cezo', 'dnes', 'do', 'ešte', 'ho', 'hoci', 'i', 'iba', 'ich', 'im', 'inej', 'inom', 'iná', 'iné', 'iného', 'inému', 'iní', 'inú', 'iný', 'iných', 'iným', 'inými', 'ja', 'je', 'jeho', 'jej', 'jemu', 'ju', 'k', 'kam', 'kamže', 'každou', 'každá', 'každé', 'každého', 'každému', 'každí', 'každú', 'každý', 'každých', 'každým', 'každými', 'kde', 'kej', 'kejže', 'keď', 'keďže', 'kie', 'kieho', 'kiehože', 'kiemu', 'kiemuže', 'kieže', 'koho', 'kom', 'komu', 'kou', 'kouže', 'kto', 'ktorej', 'ktorou', 'ktorá', 'ktoré', 'ktorí', 'ktorú', 'ktorý', 'ktorých', 'ktorým', 'ktorými', 'ku', 'ká', 'káže', 'ké', 'kéže', 'kú', 'kúže', 'ký', 'kýho', 'kýhože', 'kým', 'kýmu', 'kýmuže', 'kýže', 'lebo', 'leda', 'ledaže', 'len', 'ma', 'majú', 'mal', 'mala', 'mali', 'mať', 'medzi', 'mi', 'mne', 'mnou', 'moja', 'moje', 'mojej', 'mojich', 'mojim', 'mojimi', 'mojou', 'moju', 'možno', 'mu', 'musia', 'musieť', 'musí', 'musím', 'musíme', 'musíte', 'musíš', 'my', 'má', 'mám', 'máme', 'máte', 'máš', 'môcť', 'môj', 'môjho', 'môže', 'môžem', 'môžeme', 'môžete', 'môžeš', 'môžu', 'mňa', 'na', 'nad', 'nado', 'najmä', 'nami', 'naša', 'naše', 'našej', 'naši', 'našich', 'našim', 'našimi', 'našou', 'ne', 'nech', 'neho', 'nej', 'nejakej', 'nejakom', 'nejakou', 'nejaká', 'nejaké', 'nejakého', 'nejakému', 'nejakú', 'nejaký', 'nejakých', 'nejakým', 'nejakými', 'nemu', 'než', 'nich', 'nie', 'niektorej', 'niektorom', 'niektorou', 'niektorá', 'niektoré', 'niektorého', 'niektorému', 'niektorú', 'niektorý', 'niektorých', 'niektorým', 'niektorými', 'nielen', 'niečo', 'nim', 'nimi', 'nič', 'ničoho', 'ničom', 'ničomu', 'ničím', 'no', 'nám', 'nás', 'náš', 'nášho', 'ním', 'o', 'od', 'odo', 'on', 'ona', 'oni', 'ono', 'ony', 'oň', 'oňho', 'po', 'pod', 'podo', 'podľa', 'pokiaľ', 'popod', 'popri', 'potom', 'poza', 'pre', 'pred', 'predo', 'preto', 'pretože', 'prečo', 'pri', 'práve', 's', 'sa', 'seba', 'sebe', 'sebou', 'sem', 'si', 'sme', 'so', 'som', 'ste', 'svoj', 'svoja', 'svoje', 'svojho', 'svojich', 'svojim', 'svojimi', 'svojou', 'svoju', 'svojím', 'sú', 'ta', 'tak', 'takej', 'takejto', 'taká', 'takáto', 'také', 'takého', 'takéhoto', 'takému', 'takémuto', 'takéto', 'takí', 'takú', 'takúto', 'taký', 'takýto', 'takže', 'tam', 'teba', 'tebe', 'tebou', 'teda', 'tej', 'tejto', 'ten', 'tento', 'ti', 'tie', 'tieto', 'tiež', 'to', 'toho', 'tohoto', 'tohto', 'tom', 'tomto', 'tomu', 'tomuto', 'toto', 'tou', 'touto', 'tu', 'tvoj', 'tvoja', 'tvoje', 'tvojej', 'tvojho', 'tvoji', 'tvojich', 'tvojim', 'tvojimi', 'tvojím', 'ty', 'tá', 'táto', 'tí', 'títo', 'tú', 'túto', 'tých', 'tým', 'tými', 'týmto', 'u', 'už', 'v', 'vami', 'vaša', 'vaše', 'vašej', 'vaši', 'vašich', 'vašim', 'vaším', 'veď', 'viac', 'vo', 'vy', 'vám', 'vás', 'váš', 'vášho', 'však', 'všetci', 'všetka', 'všetko', 'všetky', 'všetok', 'z', 'za', 'začo', 'začože', 'zo', 'áno', 'čej', 'či', 'čia', 'čie', 'čieho', 'čiemu', 'čiu', 'čo', 'čoho', 'čom', 'čomu', 'čou', 'čože', 'čí', 'čím', 'čími', 'ďalšia', 'ďalšie', 'ďalšieho', 'ďalšiemu', 'ďalšiu', 'ďalšom', 'ďalšou', 'ďalší', 'ďalších', 'ďalším', 'ďalšími', 'ňom', 'ňou', 'ňu', 'že']",spark-nlp
sl,Slovenian,"['osem', 'sedem', 'prazna', 'prej', 'drugo', 'ki', 'gor', 'vaša', 'lepi', 'narobe', 'poleg', 'etc.', 'ponedeljek', 'že', 'veliki', 'ko', 'idr.', 'ene', 'x', 'štiri', 'proti', 'mora', 'peto', 'če', 'njegov', 'cela', 'dol', 'bile', 'kratki', 'stvar', 'tisti', 'seveda', 'koderkoli', 'odprta', 'taka', 'primer', 'tega', 'res', 'visoka', 'take', 'koga', 'saj', 'neke', 'kratke', 'nato', 'bolj', 'no', 'bova', 'tvoj', 'vse', 'cel', 'morate', 'dober', 'moja', 'ix', 'čigav', 'tebi', 'deseti', 'zelo', 'četrtek', 'dovolj', 'u', 'tak', 'dve', 'vso', 'polna', 'njuno', 'pod', 'najmanj', 'nekateri', 'on', 'bili', 'redko', 'dolgi', 'celi', 'polni', 'njiju', 'tretji', 'tako', 'ni', 'jo', 'kadarkoli', 'visoki', 'njihov', 'več', 'eden', 'manj', 'malo', 'četrto', 'k', 'za', 'oni', 'tvoja', 'šesti', 'visok', 'nji', 'majhni', 'bil', 'kakor', 'č', 'bojo', 'en', 'medtem', 'največ', 'kajti', 'ena', 'b', 'dobro', 'boste', 'njegova', 'prazno', 'peta', 'da', 'zadaj', 'pogosto', 'sedmi', 'morajo', 'njihova', 'deseta', 'skoraj', 'zaprta', 'moram', 'o', 'nekega', 'odprti', 'velik', 'h', 'nikoli', 'povsod', 'srednji', 'včasih', 'kdo', 'deveta', 'vam', 'vsakdo', 'oba', 'naj', 'samo', 'bomo', 'nekoga', 'sva', 's', 'dan', 'eno', 'prav', 'eni', 'kako', 'njemu', 'osma', 'boš', 'jih', 'n', 'drug', 'četrta', 'moraš', 'sta', 'tri', 'p', 'lepe', 'pripravljeni', 'enkrat', 'petek', 'tudi', 'malce', 'halo', 'tu', 'j', 'komu', 'zdaj', 'je', 'koder', 'vaš', 'one', 'mesec', 'ste', 'ravno', 'nekatere', 'kamorkoli', 'sami', 'čez', 'bodo', 'ne', 'd', 'deseto', 'ali', 'in', 'vsaka', 'pred', 'nekoč', 'lahka', 'nedelja', 'kdaj', 'l', 'nekje', 't', 'prbl.', 'sedmo', 'do', 'g', 'jim', 'vsake', 'moje', 'njo', 'sebi', 'nek', 'tukaj', 'polno', 'm', 'ob', 'naša', 'pravi', 'torek', 'ga', 'šesto', 'sam', 'naš', 'kjerkoli', 'nam', 'same', 'po', 'viii', 'kratek', 'nocoj', 'pri', 'pripravljen', 'vedno', 'majhen', 'iz', 'skozi', 'vsaj', 'vaju', 'približno', 'težka', 'neka', 'neki', 'kdorkoli', 'dobri', 'prave', 'ves', 'midve', 'bi', 'vas', 'deveto', 'jaz', 'onadva', 'često', 'dolg', 'neko', 'tam', 'se', 'me', 'lepo', 'njen', 'zaprto', 'okoli', 'vsi', 'druga', 'te', 'oboje', 'blizu', 'biti', 'sedaj', 'danes', 'datum', 'midva', 'odprt', 'njega', 'reč', 'ker', 'vii', 'nad', 'tja', 'ii', 'šest', 'š', 'bilo', 'nas', 'e', 'nekaj', 'vidva', 'oz.', 'ž', 'lepa', 'šesta', 'pet', 'spet', 'stran', 'to', 'osmi', 'težak', 'vi', 'pozdravljen', 'nekdo', 'vsega', 'kar', 'njim', 'vendar', 'tvoje', 'tisto', 'kamor', 'njun', 'dokler', 'mi', 'lep', 'njeno', 'taki', 'leto', 'kjer', 'sm', 'slab', 'prvo', 'včeraj', 'pozdravljeni', 'ti', 'kratka', 'osmo', 'njej', 'najina', 'mu', 'njuna', 'poln', 'gospod', 'od', 'bila', 'sem', 'iii', 'nedavno', 'prva', 'tebe', 'sobota', 'velika', 'lahki', 'zadnji', 'najino', 'gospa', 'katerikoli', 'peti', 'bo', 'majhna', 'takoj', 'deveti', 'visoke', 'obe', 'drugi', 'prava', 'zaprti', 'vsakomur', 'bom', 'kot', 'npr.', 'med', 'sicer', 'dolga', 'srednja', 'daleč', 'ta', 'pripravljena', 'vsak', 'ji', 'veliko', 'naju', 'sebe', 'njegovo', 'nikjer', 'jutri', 'na', 'vaše', 'le', 'tretje', 'a', 'dva', 'pa', 'r', 'pravo', 'kje', 'nekatero', 'nič', 'c', 'moj', 'mene', 'ponovno', 'preko', 'njihovo', 'pribl.', 'dobra', 'onidve', 'težko', 'v', 'z', 'si', 'devet', 'kaj', 'moramo', 'g.', 'precej', 'tiste', 'so', 'celo', 'nikdar', 'zakaj', 'ponavadi', 'nazaj', 'brez', 'deset', 'ga.', 'sedma', 'nikamor', 'nje', 'morem', 'i', 'karkoli', 'lahko', 'zunaj', 'sama', 'f', 'vsaki', 've', 'prazen', 'potem', 'vsa', 'četrti', 'naše', 'lahke', 'njih', 'težki', 'prvi', 'iv', 'toda', 'tretja', 'tj.', 'tista', 'sreda', 'njena', 'mnogo']",spacy
sm,Samoan,,
sn,Shona,,
so,Somali,"['aad', 'albaabkii', 'atabo', 'ay', 'ayaa', 'ayee', 'ayuu', 'dhan', 'hadana', 'in', 'inuu', 'isku', 'jiray', 'jirtay', 'ka', 'kale', 'kasoo', 'ku', 'kuu', 'lakin', 'markii', 'oo', 'si', 'soo', 'uga', 'ugu', 'uu', 'waa', 'waxa', 'waxuu']",guilan_nlp
sq,Albanian,"['a', 'afert', 'ai', 'ajo', 'andej', 'anes', 'aq', 'as', 'asaj', 'ashtu', 'ata', 'ate', 'atij', 'atje', 'ato', 'aty', 'atyre', 'b', 'be', 'behem', 'behet', 'bej', 'beje', 'bejne', 'ben', 'bene', 'bere', 'beri', 'bie', 'c', 'ca', 'cdo', 'cfare', 'cila', 'cilat', 'cilave', 'cilen', 'ciles', 'cilet', 'cili', 'cilin', 'cilit', 'deri', 'dhe', 'dic', 'dicka', 'dickaje', 'dike', 'dikujt', 'dikush', 'disa', 'do', 'dot', 'drejt', 'duke', 'dy', 'e', 'edhe', 'ende', 'eshte', 'etj', 'fare', 'gjate', 'gje', 'gjitha', 'gjithcka', 'gjithe', 'gjithnje', 'here', 'i', 'ia', 'ishin', 'ishte', 'iu', 'ja', 'jam', 'jane', 'jap', 'je', 'jemi', 'jo', 'ju', 'k', 'ka', 'kam', 'kane', 'kem', 'kemi', 'keq', 'kesaj', 'keshtu', 'kete', 'ketej', 'ketij', 'keto', 'ketu', 'ketyre', 'kishin', 'kishte', 'kjo', 'krejt', 'kryer', 'kryesisht', 'kryhet', 'ku', 'kudo', 'kundrejt', 'kur', 'kurre', 'kush', 'ky', 'la', 'le', 'lloj', 'm', 'ma', 'madhe', 'marr', 'marre', 'mban', 'mbi', 'me', 'menjehere', 'merr', 'merret', 'mes', 'mi', 'midis', 'mire', 'mjaft', 'mori', 'mos', 'mua', 'mund', 'na', 'ndaj', 'nder', 'ndermjet', 'ndersa', 'ndonje', 'ndryshe', 'ne', 'nen', 'neper', 'nepermjet', 'nese', 'nga', 'nje', 'njera', 'nuk', 'ose', 'pa', 'pak', 'papritur', 'para', 'pas', 'pasi', 'pasur', 'per', 'perbashket', 'perpara', 'po', 'por', 'prane', 'prapa', 'prej', 'pse', 'qe', 'qene', 'qenet', 'rralle', 'rreth', 'rri', 's', 'sa', 'saj', 'sapo', 'se', 'secila', 'sepse', 'sh', 'shih', 'shume', 'si', 'sic', 'sikur', 'sipas', 'siper', 'sone', 't', 'ta', 'tani', 'te', 'tej', 'tek', 'teper', 'tere', 'ti', 'tij', 'tilla', 'tille', 'tjera', 'tjeret', 'tjeter', 'tjetren', 'to', 'tone', 'ty', 'tyre', 'u', 'ua', 'une', 'vazhdimisht', 'vend', 'vet', 'veta', 'vete', 'vetem', 'veten', 'vetes', 'vjen', 'yne', 'zakonisht']",spark-nlp
sr,Serbian,"['а', 'авај', 'ако', 'ал', 'али', 'арх', 'ау', 'ах', 'аха', 'ај', 'бар', 'би', 'била', 'били', 'било', 'бисмо', 'бисте', 'бих', 'бијасмо', 'бијасте', 'бијах', 'бијаху', 'бијаше', 'биће', 'близу', 'број', 'брр', 'буде', 'будимо', 'будите', 'буду', 'будући', 'бум', 'бућ', 'вам', 'вама', 'вас', 'ваша', 'ваше', 'вашим', 'вашима', 'ваљда', 'веома', 'вероватно', 'већ', 'већина', 'ви', 'видео', 'више', 'врло', 'врх', 'га', 'где', 'гиц', 'год', 'горе', 'гђекоје', 'да', 'дакле', 'дана', 'данас', 'дај', 'два', 'де', 'дедер', 'делимице', 'делимично', 'дем', 'до', 'добар', 'добити', 'довечер', 'докле', 'доле', 'донекле', 'досад', 'доскоро', 'дотад', 'дотле', 'дошао', 'доћи', 'другамо', 'другде', 'други', 'е', 'ево', 'ено', 'ето', 'ех', 'ехе', 'еј', 'желела', 'желеле', 'желели', 'желело', 'желех', 'желећи', 'жели', 'за', 'заиста', 'зар', 'затим', 'зато', 'захвалити', 'зашто', 'збиља', 'зимус', 'знати', 'зум', 'и', 'иде', 'из', 'изван', 'изволи', 'између', 'изнад', 'икада', 'икакав', 'икаква', 'икакве', 'икакви', 'икаквим', 'икаквима', 'икаквих', 'икакво', 'икаквог', 'икаквога', 'икаквом', 'икаквоме', 'икаквој', 'или', 'им', 'има', 'имам', 'имао', 'испод', 'их', 'ију', 'ићи', 'кад', 'када', 'кога', 'којекакав', 'којима', 'коју', 'кришом', 'лани', 'ли', 'мали', 'мањи', 'ме', 'мене', 'мени', 'ми', 'мимо', 'мисли', 'много', 'могу', 'мора', 'морао', 'мој', 'моја', 'моје', 'моји', 'моју', 'моћи', 'му', 'на', 'над', 'након', 'нам', 'нама', 'нас', 'наша', 'наше', 'нашег', 'наши', 'наћи', 'не', 'негде', 'нека', 'некад', 'неке', 'неког', 'неку', 'нема', 'немам', 'неко', 'неће', 'нећемо', 'нећете', 'нећеш', 'нећу', 'ни', 'никада', 'никога', 'никоје', 'никоји', 'никоју', 'нисам', 'ниси', 'нисте', 'нису', 'ништа', 'ниједан', 'но', 'о', 'ова', 'овако', 'овамо', 'овај', 'овде', 'ове', 'овим', 'овима', 'ово', 'овој', 'од', 'одмах', 'око', 'около', 'он', 'онај', 'оне', 'оним', 'онима', 'оном', 'оној', 'ону', 'осим', 'остали', 'отишао', 'па', 'пак', 'питати', 'по', 'поводом', 'под', 'подаље', 'пожељан', 'пожељна', 'поиздаље', 'поименце', 'понекад', 'попреко', 'поред', 'после', 'потаман', 'потрбушке', 'поуздано', 'почетак', 'поједини', 'правити', 'први', 'преко', 'према', 'прије', 'пут', 'пљус', 'радије', 'с', 'са', 'сав', 'сада', 'сам', 'само', 'сасвим', 'сва', 'сваки', 'сви', 'свим', 'свог', 'свом', 'свој', 'своја', 'своје', 'своју', 'сву', 'свугде', 'се', 'себе', 'себи', 'си', 'смети', 'смо', 'ствар', 'стварно', 'сте', 'су', 'сутра', 'та', 'таèно', 'тако', 'такође', 'тамо', 'твој', 'твоја', 'твоје', 'твоји', 'твоју', 'те', 'тебе', 'теби', 'ти', 'тима', 'то', 'томе', 'тој', 'ту', 'у', 'увек', 'увијек', 'уз', 'уза', 'узалуд', 'уздуж', 'узети', 'умало', 'унутра', 'употребити', 'упркос', 'учинио', 'учинити', 'хало', 'хвала', 'хеј', 'хм', 'хоп', 'хоће', 'хоћемо', 'хоћете', 'хоћеш', 'хоћу', 'хтедосте', 'хтедох', 'хтедоше', 'хтела', 'хтеле', 'хтели', 'хтео', 'хтејасмо', 'хтејасте', 'хтејаху', 'хура', 'често', 'чијем', 'чији', 'чијим', 'чијима', 'шиц', 'штагод', 'што', 'штогод', 'ја', 'је', 'један', 'једини', 'једна', 'једне', 'једни', 'једно', 'једном', 'јер', 'јесам', 'јеси', 'јесмо', 'јесу', 'јим', 'јој', 'ју', 'јуче', 'његова', 'његово', 'њезин', 'њезина', 'њезино', 'њему', 'њен', 'њим', 'њима', 'њихова', 'њихово', 'њој', 'њу', 'ће', 'ћемо', 'ћете', 'ћеш', 'ћу']",spark-nlp
ss,Swati,,
st,"Sotho, Southern","['a', 'ba', 'bane', 'bona', 'e', 'ea', 'eaba', 'empa', 'ena', 'ha', 'hae', 'hape', 'ho', 'hore', 'ka', 'ke', 'la', 'le', 'li', 'me', 'mo', 'moo', 'ne', 'o', 'oa', 're', 'sa', 'se', 'tloha', 'tsa', 'tse']",guilan_nlp
su,Sundanese,,
